time	V(shifted)
0.000000000000000e+000	7.894737e-001
3.999999886872274e-009	7.894737e-001
5.885714119254919e-007	7.894737e-001
1.173142823964112e-006	7.894737e-001
1.757714236002731e-006	7.894737e-001
2.342285648041351e-006	7.894737e-001
2.926857060079971e-006	7.894737e-001
3.511428472118590e-006	7.894737e-001
4.095999884157209e-006	7.894737e-001
7.840914063958087e-005	7.894737e-001
1.527222813950045e-004	7.894737e-001
2.270354221504282e-004	7.894737e-001
3.013485629058519e-004	7.894737e-001
3.756617036612755e-004	7.894737e-001
4.499748444166992e-004	7.894737e-001
5.242879851721227e-004	7.894737e-001
2.097151940688491e-003	7.894737e-001
3.000000000000000e-003	7.894737e-001
3.005474807993142e-003	7.894737e-001
3.016424423979426e-003	7.894737e-001
3.117681439917278e-003	7.894742e-001
3.223491818537658e-003	7.894778e-001
3.435112575778419e-003	7.895015e-001
3.806276480661640e-003	7.896040e-001
4.179852182052696e-003	7.898176e-001
4.600334272501673e-003	7.902462e-001
5.059326094388885e-003	7.909927e-001
5.605834615658389e-003	7.922592e-001
6.000000000000000e-003	7.933959e-001
6.031842379110177e-003	7.935078e-001
6.095527137330531e-003	7.937353e-001
6.222896653771239e-003	7.942007e-001
6.477635686652655e-003	7.951107e-001
6.987113752415486e-003	7.965354e-001
7.819593714179621e-003	7.972974e-001
8.589318071096613e-003	7.958964e-001
8.999999999999999e-003	7.940820e-001
9.061289655739512e-003	7.936369e-001
9.183868967218534e-003	7.926836e-001
9.429027590176579e-003	7.905075e-001
9.919344836092669e-003	7.853660e-001
1.083822163691545e-002	7.743459e-001
1.181628204448936e-002	7.617819e-001
1.200000000000000e-002	7.593763e-001
1.204109181000780e-002	7.588438e-001
1.212327543002340e-002	7.577863e-001
1.228764267005460e-002	7.557203e-001
1.261637715011701e-002	7.518893e-001
1.327384611024182e-002	7.457200e-001
1.428549527228664e-002	7.397743e-001
1.500000000000000e-002	7.380546e-001
1.501860757871923e-002	7.380860e-001
1.505582273615770e-002	7.381554e-001
1.513025305103464e-002	7.383254e-001
1.527911368078851e-002	7.387758e-001
1.557683494029625e-002	7.399997e-001
1.617227745931174e-002	7.430252e-001
1.702124257723068e-002	7.473603e-001
1.797017377966218e-002	7.515194e-001
1.800000000000000e-002	7.516176e-001
1.800747663341960e-002	7.516363e-001
1.802242990025881e-002	7.516732e-001
1.811214950129406e-002	7.518741e-001
1.823177563600774e-002	7.520983e-001
1.847102790543508e-002	7.524605e-001
1.894953244428977e-002	7.531355e-001
1.955311497309050e-002	7.544017e-001
2.029030383520502e-002	7.572811e-001
2.100000000000000e-002	7.614681e-001
2.102727104275431e-002	7.617050e-001
2.108181312826292e-002	7.621894e-001
2.119089729928014e-002	7.632025e-001
2.140906564131458e-002	7.653406e-001
2.184540232538346e-002	7.695959e-001
2.271807569352123e-002	7.767974e-001
2.356208279868991e-002	7.812250e-001
2.400000000000000e-002	7.820722e-001
2.403807979539709e-002	7.820042e-001
2.411423938619127e-002	7.818354e-001
2.426655856777964e-002	7.813582e-001
2.457119693095636e-002	7.800067e-001
2.518047365730982e-002	7.766880e-001
2.591895779057081e-002	7.728454e-001
2.671655597521043e-002	7.698126e-001
2.700000000000000e-002	7.692442e-001
2.700852852812733e-002	7.692426e-001
2.702558558438199e-002	7.692407e-001
2.712792792190992e-002	7.692689e-001
2.726438437194717e-002	7.693883e-001
2.753729727202168e-002	7.697637e-001
2.791592087546359e-002	7.703360e-001
2.835484140368973e-002	7.706795e-001
2.888520084224459e-002	7.699243e-001
2.958108072824953e-002	7.666781e-001
3.000000000000000e-002	7.634333e-001
3.004838338153082e-002	7.628728e-001
3.014515014459247e-002	7.616960e-001
3.033868367071576e-002	7.591143e-001
3.072575072296234e-002	7.533792e-001
3.149988482745550e-002	7.414742e-001
3.259486396679208e-002	7.255938e-001
3.300000000000000e-002	7.204493e-001
3.302306815961022e-002	7.202141e-001
3.306920447883064e-002	7.197536e-001
3.316147711727149e-002	7.188789e-001
3.334602239415319e-002	7.173019e-001
3.371511294791659e-002	7.147141e-001
3.445329405544340e-002	7.108843e-001
3.535108628398441e-002	7.075767e-001
3.600000000000000e-002	7.057450e-001
3.605661235567581e-002	7.056069e-001
3.616983706702744e-002	7.053387e-001
3.639628648973071e-002	7.048692e-001
3.680751551799880e-002	7.043743e-001
3.741247474747230e-002	7.048332e-001
3.819906318289086e-002	7.080382e-001
3.900000000000000e-002	7.138662e-001
3.904462501236113e-002	7.143829e-001
3.913387503708340e-002	7.154536e-001
3.931237508652794e-002	7.177560e-001
3.966937518541702e-002	7.228429e-001
4.038337538319518e-002	7.338238e-001
4.181137577875149e-002	7.562931e-001
4.200000000000000e-002	7.591916e-001
4.200384035272744e-002	7.592483e-001
4.201152105818231e-002	7.593613e-001
4.205760529091154e-002	7.600349e-001
4.224194222182846e-002	7.626327e-001
4.248772479638435e-002	7.657849e-001
